"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Previous Malaria Infection]"	"Term Source REF"	"Term Accession Number"
"2588870"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_035"	"VT_150821_035.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"245"	""	""	"4 months"	""	""	"Naive"	""	""
"2588877"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_037"	"VT_150821_037.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"247"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588877"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_039"	"VT_150821_039.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"249"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588877"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_041"	"VT_150821_041.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"251"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588878"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_043"	"VT_150821_043.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"253"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588878"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_045"	"VT_150821_045.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"255"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588878"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_047"	"VT_150821_047.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"257"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588875"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_049"	"VT_150821_049.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"259"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588875"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_051"	"VT_150821_051.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"261"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588875"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_053"	"VT_150821_053.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"263"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588846"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_055"	"VT_150821_055.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"265"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588846"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_057"	"VT_150821_057.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"267"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588846"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_059"	"VT_150821_059.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"269"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588855"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_061"	"VT_150821_061.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"271"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588855"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_063"	"VT_150821_063.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"273"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588855"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_065"	"VT_150821_065.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"275"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588839"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_067"	"VT_150821_067.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"277"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588839"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_069"	"VT_150821_069.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"279"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588839"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_071"	"VT_150821_071.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"281"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588845"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_073"	"VT_150821_073.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"283"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588845"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_075"	"VT_150821_075.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"285"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588845"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_077"	"VT_150821_077.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"287"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588843"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_079"	"VT_150821_079.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"289"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588843"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_081"	"VT_150821_081.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"291"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588843"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_083"	"VT_150821_083.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"293"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588876"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_085"	"VT_150821_085.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"295"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588876"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_087"	"VT_150821_087.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"297"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588876"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_089"	"VT_150821_089.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"299"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588856"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_091"	"VT_150821_091.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"301"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588856"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_093"	"VT_150821_093.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"303"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588856"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_095"	"VT_150821_095.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"305"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588854"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_097"	"VT_150821_097.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"307"	""	""	"4 months"	""	""	"Naive"	""	""
"2588854"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_099"	"VT_150821_099.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"309"	""	""	"4 months"	""	""	"Naive"	""	""
"2588854"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_101"	"VT_150821_101.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"311"	""	""	"4 months"	""	""	"Naive"	""	""
"2588868"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_103"	"VT_150821_103.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"313"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588868"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_105"	"VT_150821_105.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"315"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588868"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_107"	"VT_150821_107.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"317"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588847"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_109"	"VT_150821_109.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"319"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588847"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_111"	"VT_150821_111.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"321"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588847"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_113"	"VT_150821_113.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"323"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588840"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_115"	"VT_150821_115.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"325"	""	""	"Diagnosis"	""	""	"Naive"	""	""
