"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype_systematicName]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype_commonName]"	"Term Source REF"	"Term Accession Number"	"Factor Value[analysis_time]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sample_type]"	"Term Source REF"	"Term Accession Number"
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_G_11"	"11"	""	""	"YJR008W"	""	""	"MHO1"	""	""	"1377469998"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_E_4"	"11"	""	""	"YFR032C-A"	""	""	"RPL29"	""	""	"1377470229"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_G_12"	"11"	""	""	"YIL041W"	""	""	"GVP36"	""	""	"1377470692"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_G_12"	"11"	""	""	"YMR238W"	""	""	"DFG5"	""	""	"1377470924"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_H_12"	"11"	""	""	"YMR251W-A"	""	""	"HOR7"	""	""	"1377471387"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_E_10"	"11"	""	""	"YMR198W"	""	""	"CIK1"	""	""	"1377471618"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD6_01"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377471850"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD4_01"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377472081"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD2_01"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377472313"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_A_3"	"11"	""	""	"YDR028C"	""	""	"REG1"	""	""	"1377472545"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_B_8"	"11"	""	""	"YMR153C-A"	""	""	"NA"	""	""	"1377472778"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_G_7"	"11"	""	""	"YIL035C"	""	""	"CKA1"	""	""	"1377473008"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_G_3"	"11"	""	""	"YMR225C"	""	""	"MRPL44"	""	""	"1377473241"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_H_1"	"11"	""	""	"YIL043C"	""	""	"CBR1"	""	""	"1377473472"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_F_10"	"11"	""	""	"YCR087C-A"	""	""	"NA"	""	""	"1377473705"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_H_4"	"11"	""	""	"YJR011C"	""	""	"NA"	""	""	"1377473936"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_D_10"	"11"	""	""	"YCR028C"	""	""	"FEN2"	""	""	"1377474168"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_C_6"	"11"	""	""	"YMR166C"	""	""	"MME1"	""	""	"1377474399"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_E_2"	"11"	""	""	"YFL034C-A"	""	""	"RPL22B"	""	""	"1377474631"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_D_8"	"11"	""	""	"YMR183C"	""	""	"SSO2"	""	""	"1377474863"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_A_6"	"11"	""	""	"YDR265W"	""	""	"PEX10"	""	""	"1377475097"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_175"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377475329"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"11_BLANK_02"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377475560"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_A_10"	"11"	""	""	"YDR035W"	""	""	"ARO3"	""	""	"1377476024"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_A_2"	"11"	""	""	"YMR036C"	""	""	"MIH1"	""	""	"1377476258"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_D_4"	"11"	""	""	"YDR535C"	""	""	"NA"	""	""	"1377476489"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_F_2"	"11"	""	""	"YIL005W"	""	""	"EPS1"	""	""	"1377476721"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_E_3"	"11"	""	""	"YFR032C"	""	""	"RRT5"	""	""	"1377476953"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_B_4"	"11"	""	""	"YPR193C"	""	""	"HPA2"	""	""	"1377477415"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_H_3"	"11"	""	""	"YJR010W"	""	""	"MET3"	""	""	"1377477647"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_H_1"	"11"	""	""	"YJR010C-A"	""	""	"SPC1"	""	""	"1377477879"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_F_1"	"11"	""	""	"YFR044C"	""	""	"DUG1"	""	""	"1377478112"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_H_5"	"11"	""	""	"YJR014W"	""	""	"TMA22"	""	""	"1377478341"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD5_01"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377478573"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD3_01"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377478803"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD1_01"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377479036"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_H_1"	"11"	""	""	"YGR235C"	""	""	"MIC26"	""	""	"1377479267"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_F_2"	"11"	""	""	"YCR073W-A"	""	""	"SOL2"	""	""	"1377479733"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_D_6"	"11"	""	""	"YMR180C"	""	""	"CTL1"	""	""	"1377479965"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_H_12"	"11"	""	""	"YIL073C"	""	""	"SPO22"	""	""	"1377480196"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_E_8"	"11"	""	""	"YCR059C"	""	""	"YIH1"	""	""	"1377480429"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_E_7"	"11"	""	""	"YFR035C"	""	""	"NA"	""	""	"1377480662"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_A_1"	"11"	""	""	"YDR260C"	""	""	"SWM1"	""	""	"1377480894"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_A_7"	"11"	""	""	"YMR042W"	""	""	"ARG80"	""	""	"1377481357"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_D_4"	"11"	""	""	"YMR178W"	""	""	"NA"	""	""	"1377481590"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_A_4"	"11"	""	""	"YPR170C"	""	""	"NA"	""	""	"1377481821"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_176"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377482056"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"11_BLANK_03"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377482287"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_A_2"	"11"	""	""	"YDR027C"	""	""	"VPS54"	""	""	"1377482519"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_F_2"	"11"	""	""	"YMR204C"	""	""	"INP1"	""	""	"1377482750"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_C_10"	"11"	""	""	"YBR296C"	""	""	"PHO89"	""	""	"1377482984"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_E_9"	"11"	""	""	"YMR196W"	""	""	"NA"	""	""	"1377483214"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_F_3"	"11"	""	""	"YFR046C"	""	""	"CNN1"	""	""	"1377483448"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_C_8"	"11"	""	""	"YCR100C"	""	""	"NA"	""	""	"1377483680"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_C_5"	"11"	""	""	"YDR294C"	""	""	"DPL1"	""	""	"1377483911"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_B_10"	"11"	""	""	"YPR199C"	""	""	"ARR1"	""	""	"1377484146"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_G_3"	"11"	""	""	"YGR224W"	""	""	"AZR1"	""	""	"1377484377"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_C_7"	"11"	""	""	"YMR167W"	""	""	"MLH1"	""	""	"1377484609"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_C_12"	"11"	""	""	"YBR298C"	""	""	"MAL31"	""	""	"1377484841"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_D_3"	"11"	""	""	"YDR525W-A"	""	""	"SNA2"	""	""	"1377485073"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD6_02"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377485306"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD4_02"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377485537"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"11_STD2_02"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377485767"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_A_8"	"11"	""	""	"YDR033W"	""	""	"MRH1"	""	""	"1377486000"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_E_5"	"11"	""	""	"YMR193W"	""	""	"MRPL24"	""	""	"1377486232"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_G_10"	"11"	""	""	"YGR232W"	""	""	"NAS6"	""	""	"1377486463"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_B_12"	"11"	""	""	"YDR287W"	""	""	"INM2"	""	""	"1377486693"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_D_2"	"11"	""	""	"YDR309C"	""	""	"GIC2"	""	""	"1377486926"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_B_5"	"11"	""	""	"YPR194C"	""	""	"OPT2"	""	""	"1377487159"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30_D_12"	"11"	""	""	"YDR320C"	""	""	"SWA2"	""	""	"1377487391"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_H_3"	"11"	""	""	"YGR236C"	""	""	"SPG1"	""	""	"1377487622"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39_E_3"	"11"	""	""	"YCR043C"	""	""	"NA"	""	""	"1377487854"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_E_11"	"11"	""	""	"YFR041C"	""	""	"ERJ5"	""	""	"1377488087"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26_C_5"	"11"	""	""	"YCR094W"	""	""	"CDC50"	""	""	"1377488319"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"04_F_4"	"11"	""	""	"YMR206W"	""	""	"NA"	""	""	"1377488551"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_177"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377488782"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"11_BLANK_04"	"11"	""	""	"NA"	""	""	"NA"	""	""	"1377489014"	""	""	"Blank"	""	""
