"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A55 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A55 10cm S3"	"A55 10cm S3-profile.ibd"	"A55 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A55 10cm - 2013-07-17 16.50.45.ndpi"	""	""	"A55 10cm S3.jpg"	""	""	"Data transformation"	""	"A55 10cm S3-profile.imzML"	"A55 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A55 5cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A55 5cm S3"	"A55 5cm S3-profile.ibd"	"A55 5cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A55 5CM 3 BOTTOM - 2014-07-10 12.51.13.ndpi"	""	""	"A55 5cm S3.jpg"	""	""	"Data transformation"	""	"A55 5cm S3-profile.imzML"	"A55 5cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A55 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A55 CT S3"	"A55 CT S3-profile.ibd"	"A55 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A55 CENTRE 3 - 2014-12-09 21.45.34.ndpi"	""	""	"A55 CT S3.JPG"	""	""	"Data transformation"	""	"A55 CT S3-profile.imzML"	"A55 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A56 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A56 10cm S4"	"A56 10cm S4-profile.ibd"	"A56 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A56 10CM 20.6.13 (4) - 2014-05-27 16.43.25.ndpi"	""	""	"A56 10cm S4.jpg"	""	""	"Data transformation"	""	"A56 10cm S4-profile.imzML"	"A56 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A56 5cm S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A56 5cm S5"	"A56 5cm S5-profile.ibd"	"A56 5cm S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A56 5CM 5 BOTTOM - 2014-07-10 13.03.27.ndpi"	""	""	"A56 5cm S5.jpg"	""	""	"Data transformation"	""	"A56 5cm S5-profile.imzML"	"A56 5cm S5-centroid.imzML"	"Metabolite identification"	""	""
"A56 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A56 CT S3"	"A56 CT S3-profile.ibd"	"A56 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A56 CT S3 - 2014-12-09 23.00.19.ndpi"	""	""	"A56 CT S3.jpg"	""	""	"Data transformation"	""	"A56 CT S3-profile.imzML"	"A56 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A56 CT S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A56 CT S5"	"A56 CT S5-profile.ibd"	"A56 CT S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A56 CT S4 - 2014-12-09 23.07.42.ndpi"	""	""	"A56 centre S5 135um.jpg"	""	""	"Data transformation"	""	"A56 CT S5-profile.imzML"	"A56 CT S5-centroid.imzML"	"Metabolite identification"	""	""
"A57 10cm S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A57 10cm S5"	"A57 10cm S5-profile.ibd"	"A57 10cm S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A57 10CM 5 - 2014-08-13 18.52.59.ndpi"	""	""	"A57 10cm S5.jpg"	""	""	"Data transformation"	""	"A57 10cm S5-profile.imzML"	"A57 10cm S5-centroid.imzML"	"Metabolite identification"	""	""
"A57 5cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A57 5cm S4"	"A57 5cm S4-profile.ibd"	"A57 5cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A57 5CM 4 TOP - 2014-07-10 12.37.01.ndpi"	""	""	"A57 5cm S4.jpg"	""	""	"Data transformation"	""	"A57 5cm S4-profile.imzML"	"A57 5cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A57 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A57 CT S3"	"A57 CT S3-profile.ibd"	"A57 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A57 CT 3 - 2014-12-09 21.50.46.ndpi"	""	""	"A57 CT S3.jpg"	""	""	"Data transformation"	""	"A57 CT S3-profile.imzML"	"A57 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A58 jcn S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A58 jcn S4"	"A58 jcn S4-profile.ibd"	"A58 jcn S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A58 JC S4 - 2014-12-09 21.48.37.ndpi"	""	""	"A58 Jc S4.jpg"	""	""	"Data transformation"	""	"A58 jcn S4-profile.imzML"	"A58 jcn S4-centroid.imzML"	"Metabolite identification"	""	""
"A61 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A61 10cm S3"	"A61 10cm S3-profile.ibd"	"A61 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A61 10cm - 2013-07-17 17.25.21.ndpi"	""	""	"A61 10cm S3.jpg"	""	""	"Data transformation"	""	"A61 10cm S3-profile.imzML"	"A61 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A61 CT S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A61 CT S5"	"A61 CT S5-profile.ibd"	"A61 CT S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A61C - 2012-08-06 18.35.21.ndpi"	""	""	"A61 centre S5.jpg"	""	""	"Data transformation"	""	"A61 CT S5-profile.imzML"	"A61 CT S5-centroid.imzML"	"Metabolite identification"	""	""
"A62 5cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A62 5cm S4"	"A62 5cm S4-profile.ibd"	"A62 5cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A62 5CM 4 TOP - 2014-08-13 17.30.01.ndpi"	""	""	"A62 5cm S4.jpg"	""	""	"Data transformation"	""	"A62 5cm S4-profile.imzML"	"A62 5cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A62 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A62 CT S3"	"A62 CT S3-profile.ibd"	"A62 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A62 CENTRE 3 BOTTOM - 2014-08-13 17.36.57.ndpi"	""	""	"A62 CT S3.jpg"	""	""	"Data transformation"	""	"A62 CT S3-profile.imzML"	"A62 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A63 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A63 10cm S3"	"A63 10cm S3-profile.ibd"	"A63 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A63 10cm - 2013-07-17 17.31.11.ndpi"	""	""	"A63 10cm S3.jpg"	""	""	"Data transformation"	""	"A63 10cm S3-profile.imzML"	"A63 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A64 10cm S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A64 10cm S5"	"A64 10cm S5-profile.ibd"	"A64 10cm S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A64 10CM 5 - 2014-07-10 11.53.07.ndpi"	""	""	"A64 10cm S5.jpg"	""	""	"Data transformation"	""	"A64 10cm S5-profile.imzML"	"A64 10cm S5-centroid.imzML"	"Metabolite identification"	""	""
"A64 5cm S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A64 5cm S5"	"A64 5cm S5-profile.ibd"	"A64 5cm S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A64 5CM 5 TOP - 2014-08-13 17.20.34.ndpi"	""	""	"A64 5cm S5.jpg"	""	""	"Data transformation"	""	"A64 5cm S5-profile.imzML"	"A64 5cm S5-centroid.imzML"	"Metabolite identification"	""	""
"A64 CT S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A64 CT S2"	"A64 CT S2-profile.ibd"	"A64 CT S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A64 CT S2 - 2014-12-09 22.02.04.ndpi"	""	""	"A64 CT S2.jpg"	""	""	"Data transformation"	""	"A64 CT S2-profile.imzML"	"A64 CT S2-centroid.imzML"	"Metabolite identification"	""	""
"A66 10cm S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A66 10cm S5"	"A66 10cm S5-profile.ibd"	"A66 10cm S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A66 10cm s5 - 2013-07-17 14.22.37.ndpi"	""	""	"A66 10cm S5.jpg"	""	""	"Data transformation"	""	"A66 10cm S5-profile.imzML"	"A66 10cm S5-centroid.imzML"	"Metabolite identification"	""	""
"A66 junction S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A66 junction S5"	"A66 junction S5-profile.ibd"	"A66 junction S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A66 Junction (5) - 2013-07-17 13.01.47.ndpi"	""	""	"A66 jcn S5.jpg"	""	""	"Data transformation"	""	"A66 junction S5-profile.imzML"	"A66 junction S5-centroid.imzML"	"Metabolite identification"	""	""
"A67 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A67 CT S4"	"A67 CT S4-profile.ibd"	"A67 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A67 CT 4 - 2014-12-09 22.17.15.ndpi"	""	""	"A67 CT S4.jpg"	""	""	"Data transformation"	""	"A67 CT S4-profile.imzML"	"A67 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A68 CT S7"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A68 CT S7"	"A68 CT S7-profile.ibd"	"A68 CT S7-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A68C7 - 2012-08-06 18.39.05.ndpi"	""	""	"A68 centre S7.jpg"	""	""	"Data transformation"	""	"A68 CT S7-profile.imzML"	"A68 CT S7-centroid.imzML"	"Metabolite identification"	""	""
"A70 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A70 10cm S4"	"A70 10cm S4-profile.ibd"	"A70 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A70 10cm - 2013-07-17 17.15.51.ndpi"	""	""	"A70 10cm S4.jpg"	""	""	"Data transformation"	""	"A70 10cm S4-profile.imzML"	"A70 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A70 CT S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A70 CT S2"	"A70 CT S2-profile.ibd"	"A70 CT S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A70 (3) - 2013-07-17 15.11.12.ndpi"	""	""	"A70 CT S2.jpg"	""	""	"Data transformation"	""	"A70 CT S2-profile.imzML"	"A70 CT S2-centroid.imzML"	"Metabolite identification"	""	""
"A74 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A74 CT S4"	"A74 CT S4-profile.ibd"	"A74 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"A74 CT S4.jpg"	""	""	"Data transformation"	""	"A74 CT S4-profile.imzML"	"A74 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A75 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A75 CT S4"	"A75 CT S4-profile.ibd"	"A75 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A75 CT S4 - 2014-12-09 22.19.54.ndpi"	""	""	"A75 centre S4.jpg"	""	""	"Data transformation"	""	"A75 CT S4-profile.imzML"	"A75 CT S4-centroid.imzML"	"Metabolite identification"	""	""
