"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1979556"	"742"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_038"	"VT_140610_038.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1979556"	"743"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_040"	"VT_140610_040.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1979556"	"744"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_042"	"VT_140610_042.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2021443"	"745"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_044"	"VT_140610_044.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2021443"	"746"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_046"	"VT_140610_046.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2021443"	"747"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_048"	"VT_140610_048.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2023643"	"748"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_050"	"VT_140610_050.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2023643"	"749"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_052"	"VT_140610_052.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2023643"	"750"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_054"	"VT_140610_054.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2026409"	"751"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_056"	"VT_140610_056.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2026409"	"752"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_058"	"VT_140610_058.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2026409"	"753"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_060"	"VT_140610_060.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2029130"	"754"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_062"	"VT_140610_062.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2029130"	"755"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_064"	"VT_140610_064.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2029130"	"756"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_066"	"VT_140610_066.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2006374"	"757"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_068"	"VT_140610_068.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2006374"	"758"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_070"	"VT_140610_070.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2006374"	"759"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_072"	"VT_140610_072.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2033061"	"760"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_074"	"VT_140610_074.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2033061"	"761"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_076"	"VT_140610_076.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2033061"	"762"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_078"	"VT_140610_078.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2030288"	"763"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_080"	"VT_140610_080.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2030288"	"764"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_082"	"VT_140610_082.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2030288"	"765"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_084"	"VT_140610_084.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2034989"	"766"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_086"	"VT_140610_086.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2034989"	"767"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_088"	"VT_140610_088.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2034989"	"768"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_090"	"VT_140610_090.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2044196"	"769"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_092"	"VT_140610_092.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2044196"	"770"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_094"	"VT_140610_094.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2044196"	"771"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_096"	"VT_140610_096.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2046017"	"772"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_098"	"VT_140610_098.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2046017"	"773"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_100"	"VT_140610_100.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2046017"	"774"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_102"	"VT_140610_102.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2012642"	"775"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_104"	"VT_140610_104.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2012642"	"776"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_106"	"VT_140610_106.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2012642"	"777"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_108"	"VT_140610_108.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2010135"	"778"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_110"	"VT_140610_110.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2010135"	"779"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_112"	"VT_140610_112.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2010135"	"780"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_114"	"VT_140610_114.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2006379"	"781"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_116"	"VT_140610_116.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2006379"	"782"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_118"	"VT_140610_118.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2006379"	"783"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_120"	"VT_140610_120.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2030936"	"784"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_122"	"VT_140610_122.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2030936"	"785"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_124"	"VT_140610_124.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2030936"	"786"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_126"	"VT_140610_126.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2026410"	"787"	""	""	"11"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140610_128"	"VT_140610_128.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
